	AERS_ANAPHYLAXIS	AERS_ANEMIA	AERS_ANGIOEDEMA	AERS_ANXIETY	AERS_APLASTIC_ANEMIA	AERS_ARRHYTHMIA	AERS_ARTHRALGIA	AERS_ASTHMA	AERS_ATRIAL_FIBRILLATION	AERS_BODY WEIGHT DECREASED	AERS_BRADYCARDIA	AERS_BRONCHOSPASM	AERS_CARDIAC_ARREST	AERS_CEREBROVASCULAR_ACCIDENT	AERS_CHEST_PAIN	AERS_COMA	AERS_CONVULSION	AERS_DIARRHEA	AERS_DIZZINESS	AERS_DYSPNOEA	AERS_FEVER	AERS_GASTROINTESTINAL_HAEMORRHAGE	AERS_HEART_FAILURE	AERS_HEPATIC_FAILURE	AERS_HYPERGLYCEMIA	AERS_HYPERKALEMIA	AERS_HYPERTENSION	AERS_HYPOGLYCAEMIA	AERS_LEUKOPENIA	AERS_MENTAL DEPRESSION	AERS_MYALGIA	AERS_MYOCARDIAL_INFARCTION	AERS_NEUROPATHY	AERS_PANCREATITIS	AERS_PARAESTHESIA	AERS_PERIPHERAL EDEMA	AERS_PERIPHERAL_NEUROPATHY	AERS_PNEUMONIA	AERS_PRURITUS	AERS_PULMONARY_EDEMA	AERS_RENAL_FAILURE_ACUTE	AERS_SEPSIS	AERS_SLEEPLESSNESS	AERS_THROMBOCYTOPENIA	AERS_TREMOR	AERS_VAGINAL_HEMORRHAGE	AERS_VENTRICULAR_TACHYCARDIA	AERS_VOMITING	AERS_WEIGHT GAIN
AERS_BRADYCARDIA	0.668	0.0	0.993	0.02	0.045	1.0	0.0	0.034	0.955	0.0	0	0.999	1.0	0.199	0.0	1.0	0.889	0.0	0.749	0.001	0.0	0.002	0.824	0.25	0.0	1.0	0.47	0.753	0.0	0.001	0.0	0.094	0.113	0.004	0.056	0.027	0.0	0.0	0.0	1.0	0.864	0.0	0.0	0.009	0.042	0.042	1.0	0.0	0.0
AERS_BRONCHOSPASM	1.0	0.0	0.987	0.026	0.0	0.929	0.001	1.0	0.178	0.0	0.999	0	1.0	0.03	0.277	0.436	0.032	0.0	0.0	0.998	0.0	0.08	0.129	0.098	0.016	0.177	0.031	0.005	0.019	0.0	0.027	0.02	0.002	0.015	0.014	0.07	0.011	0.0	0.568	0.957	0.287	0.004	0.004	0.002	0.0	0.496	0.997	0.001	0.0
AERS_CARDIAC_ARREST	0.992	0.0	0.5	0.714	0.001	1.0	0.0	0.279	0.893	0.0	1.0	1.0	0	0.028	0.004	1.0	0.986	0.0	0.004	0.0	0.0	0.047	0.629	0.231	0.102	0.539	0.083	0.163	0.0	0.455	0.001	0.457	0.031	0.002	0.004	0.001	0.0	0.001	0.0	1.0	0.0	0.056	0.049	0.001	0.689	0.004	1.0	0.0	0.032
AERS_CEREBROVASCULAR_ACCIDENT	0.355	0.007	0.241	0.121	0.0	0.681	0.824	0.274	0.769	0.283	0.199	0.03	0.028	0	0.996	0.029	0.408	0.138	0.991	0.766	0.029	0.803	0.964	0.006	0.309	0.009	0.991	0.309	0.004	0.631	0.228	0.999	0.01	0.04	0.848	0.905	0.0	0.219	0.394	0.009	0.0	0.003	0.093	0.017	0.393	0.386	0.543	0.5	0.805
AERS_CHEST_PAIN	0.615	0.04	0.199	0.752	0.0	0.273	0.947	0.596	0.823	0.862	0.0	0.277	0.004	0.996	0	0.0	0.005	0.714	0.884	1.0	0.006	0.639	0.908	0.001	0.041	0.003	0.615	0.0	0.0	0.27	0.079	1.0	0.091	0.013	0.992	0.803	0.003	0.215	0.339	0.087	0.0	0.008	0.423	0.0	0.129	0.366	0.084	0.992	0.258
AERS_COMA	0.003	0.0	0.169	0.906	0.882	0.806	0.0	0.001	0.0	0.0	1.0	0.436	1.0	0.029	0.0	0	1.0	0.0	0.002	0.0	0.0	0.0	0.0	0.188	0.214	0.0	0.0	0.989	0.469	0.889	0.004	0.004	0.002	0.237	0.0	0.002	0.001	0.0	0.0	0.999	0.0	0.001	0.777	0.163	1.0	0.053	0.472	0.301	0.502
AERS_CONVULSION	0.658	0.0	0.003	1.0	0.896	0.824	0.0	0.523	0.0	0.08	0.889	0.032	0.986	0.408	0.005	1.0	0	0.002	0.955	0.016	0.033	0.0	0.015	0.05	0.066	0.0	0.367	0.26	0.004	0.998	0.0	0.382	0.059	0.064	0.878	0.0	0.009	0.0	0.002	0.241	0.0	0.006	0.931	0.0	1.0	0.176	0.58	0.954	0.265
AERS_DIARRHEA	0.029	0.921	0.0	0.011	0.003	0.0	0.45	0.025	0.656	1.0	0.0	0.0	0.0	0.138	0.714	0.0	0.002	0	0.475	0.651	0.813	0.829	0.321	0.632	0.859	0.006	0.174	0.509	0.033	0.027	0.082	0.505	0.469	0.854	0.008	0.851	0.886	0.994	0.436	0.056	0.256	0.985	0.826	0.299	0.018	0.362	0.0	1.0	0.19
AERS_DIZZINESS	0.044	0.0	0.0	1.0	0.0	0.122	0.833	0.348	0.193	0.81	0.749	0.0	0.004	0.991	0.884	0.002	0.955	0.475	0	0.996	0.0	0.0	0.015	0.0	0.023	0.0	0.659	0.808	0.0	0.986	0.488	0.483	0.012	0.003	1.0	0.18	0.0	0.0	0.853	0.0	0.0	0.0	1.0	0.0	1.0	0.72	0.035	1.0	0.985
AERS_DYSPNOEA	0.329	0.005	0.005	0.528	0.0	0.17	0.501	1.0	0.865	0.585	0.001	0.998	0.0	0.766	1.0	0.0	0.016	0.651	0.996	0	0.371	0.148	0.955	0.002	0.043	0.001	0.875	0.016	0.0	0.025	0.032	0.94	0.035	0.033	0.515	0.939	0.037	0.837	0.61	0.165	0.0	0.037	0.355	0.0	0.079	0.633	0.012	0.993	0.021
AERS_FEVER	0.239	0.988	0.121	0.0	0.965	0.0	0.916	0.0	0.017	0.634	0.0	0.0	0.0	0.029	0.006	0.0	0.033	0.813	0.0	0.371	0	0.065	0.027	0.88	0.077	0.0	0.051	0.001	1.0	0.0	0.007	0.444	0.303	0.473	0.002	0.062	0.75	1.0	0.993	0.045	0.809	0.991	0.0	0.997	0.001	0.148	0.002	0.756	0.016
AERS_GASTROINTESTINAL_HAEMORRHAGE	0.387	1.0	0.103	0.0	0.961	0.197	0.0	0.0	0.997	0.014	0.002	0.08	0.047	0.803	0.639	0.0	0.0	0.829	0.0	0.148	0.065	0	0.975	0.992	0.884	0.909	0.016	0.008	0.358	0.0	0.066	0.697	0.895	0.009	0.0	0.32	0.952	0.987	0.001	0.952	0.999	0.999	0.0	0.993	0.0	0.066	0.459	0.108	0.0
AERS_HEART_FAILURE	0.0	0.671	0.0	0.0	0.044	0.995	0.065	0.309	1.0	0.016	0.824	0.129	0.629	0.964	0.908	0.0	0.015	0.321	0.015	0.955	0.027	0.975	0	0.666	0.745	0.691	0.718	0.472	0.0	0.0	0.25	1.0	0.901	0.026	0.003	0.966	0.5	0.99	0.0	0.999	0.585	0.9	0.001	0.165	0.0	0.008	0.993	0.005	0.29
AERS_HEPATIC_FAILURE	0.114	0.976	0.017	0.0	0.988	0.161	0.002	0.002	0.111	0.048	0.25	0.098	0.231	0.006	0.001	0.188	0.05	0.632	0.0	0.002	0.88	0.992	0.666	0	0.875	0.253	0.185	0.42	0.995	0.0	0.88	0.008	0.98	0.882	0.02	0.481	1.0	0.813	0.0	0.606	0.968	1.0	0.0	0.986	0.0	0.057	0.617	0.161	0.0
AERS_HYPERGLYCEMIA	0.0	0.719	0.028	0.0	0.024	0.715	0.001	0.001	0.85	0.486	0.0	0.016	0.102	0.309	0.041	0.214	0.066	0.859	0.023	0.043	0.077	0.884	0.745	0.875	0	0.465	0.38	1.0	0.373	0.002	0.045	0.381	0.982	0.975	0.0	0.93	0.986	0.994	0.0	0.909	0.88	1.0	0.001	0.331	0.014	0.179	0.064	0.461	0.775
AERS_HYPERKALEMIA	0.003	0.1	1.0	0.0	0.933	0.713	0.0	0.0	0.991	0.004	1.0	0.177	0.539	0.009	0.003	0.0	0.0	0.006	0.0	0.001	0.0	0.909	0.691	0.253	0.465	0	0.03	0.968	0.254	0.0	0.0	0.0	0.597	0.046	0.002	0.115	0.262	0.039	0.0	0.774	1.0	0.469	0.0	0.263	0.0	0.004	0.752	0.0	0.0
AERS_HYPERTENSION	0.019	0.045	0.009	0.715	0.0	0.389	0.444	0.032	0.406	0.759	0.47	0.031	0.083	0.991	0.615	0.0	0.367	0.174	0.659	0.875	0.051	0.016	0.718	0.185	0.38	0.03	0	0.129	0.029	0.734	0.012	0.977	0.303	0.637	0.283	0.157	0.146	0.288	0.015	0.303	0.012	0.002	0.321	0.0	0.239	0.927	0.307	0.581	0.471
AERS_HYPOGLYCAEMIA	0.038	0.008	0.948	0.155	0.397	0.179	0.04	0.408	0.183	0.406	0.753	0.005	0.163	0.309	0.0	0.989	0.26	0.509	0.808	0.016	0.001	0.008	0.472	0.42	1.0	0.968	0.129	0	0.019	0.014	0.583	0.863	0.07	0.895	0.152	0.778	0.239	0.004	0.157	0.014	0.593	0.029	0.026	0.338	0.842	0.204	0.187	0.067	0.662
AERS_LEUKOPENIA	0.05	0.996	0.905	0.0	1.0	0.0	0.21	0.0	0.144	0.007	0.0	0.019	0.0	0.004	0.0	0.469	0.004	0.033	0.0	0.0	1.0	0.358	0.0	0.995	0.373	0.254	0.029	0.019	0	0.0	0.008	0.0	0.971	0.994	0.0	0.009	0.982	0.935	0.38	0.214	0.996	1.0	0.0	1.0	0.0	0.029	0.001	0.0	0.0
AERS_MENTAL DEPRESSION	0.0	0.025	0.0	1.0	0.401	0.415	0.932	0.522	0.0	0.99	0.001	0.0	0.455	0.631	0.27	0.889	0.998	0.027	0.986	0.025	0.0	0.0	0.0	0.0	0.002	0.0	0.734	0.014	0.0	0	0.775	0.228	0.096	0.238	0.828	0.16	0.089	0.0	0.019	0.006	0.0	0.0	1.0	0.0	1.0	0.987	0.127	0.356	1.0
AERS_MYALGIA	0.001	0.005	0.655	0.463	0.202	0.002	0.999	0.016	0.182	0.526	0.0	0.027	0.001	0.228	0.079	0.004	0.0	0.082	0.488	0.032	0.007	0.066	0.25	0.88	0.045	0.0	0.012	0.583	0.008	0.775	0	0.181	1.0	1.0	0.999	1.0	0.873	0.041	0.985	0.009	0.988	0.153	0.769	0.031	0.047	0.661	0.066	0.027	0.151
AERS_MYOCARDIAL_INFARCTION	0.732	0.749	0.0	0.185	0.0	0.419	0.639	0.053	0.216	0.521	0.094	0.02	0.457	0.999	1.0	0.004	0.382	0.505	0.483	0.94	0.444	0.697	1.0	0.008	0.381	0.0	0.977	0.863	0.0	0.228	0.181	0	0.014	0.111	0.353	0.06	0.001	0.592	0.121	0.181	0.0	0.014	0.287	0.004	0.125	0.272	0.876	0.232	0.346
AERS_NEUROPATHY	0.006	0.544	0.036	0.01	0.246	0.111	0.301	0.005	0.848	0.599	0.113	0.002	0.031	0.01	0.091	0.002	0.059	0.469	0.012	0.035	0.303	0.895	0.901	0.98	0.982	0.597	0.303	0.07	0.971	0.096	1.0	0.014	0	0.731	0.42	0.895	1.0	0.955	0.002	0.547	0.911	0.985	0.001	0.943	0.0	0.065	0.0	0.086	0.04
AERS_PANCREATITIS	0.0	0.689	0.259	0.03	0.558	0.083	0.739	0.475	0.0	0.782	0.004	0.015	0.002	0.04	0.013	0.237	0.064	0.854	0.003	0.033	0.473	0.009	0.026	0.882	0.975	0.046	0.637	0.895	0.994	0.238	1.0	0.111	0.731	0	0.006	0.12	0.821	0.187	0.058	0.002	0.811	0.153	0.11	0.632	0.002	0.504	0.001	0.552	0.751
AERS_PARAESTHESIA	0.835	0.047	0.416	0.99	0.023	0.247	0.969	0.676	0.013	0.633	0.056	0.014	0.004	0.848	0.992	0.0	0.878	0.008	1.0	0.515	0.002	0.0	0.003	0.02	0.0	0.002	0.283	0.152	0.0	0.828	0.999	0.353	0.42	0.006	0	0.694	0.583	0.0	1.0	0.0	0.0	0.0	0.993	0.002	0.999	0.289	0.03	0.08	0.885
AERS_PERIPHERAL EDEMA	0.001	0.257	0.456	0.109	0.046	0.302	0.996	0.113	0.837	0.482	0.027	0.07	0.001	0.905	0.803	0.002	0.0	0.851	0.18	0.939	0.062	0.32	0.966	0.481	0.93	0.115	0.157	0.778	0.009	0.16	1.0	0.06	0.895	0.12	0.694	0	0.773	0.912	0.653	0.977	0.006	0.509	0.0	0.004	0.008	0.789	0.019	0.292	0.718
AERS_PERIPHERAL_NEUROPATHY	0.0	0.977	0.002	0.007	0.611	0.114	0.051	0.0	0.935	0.635	0.0	0.011	0.0	0.0	0.003	0.001	0.009	0.886	0.0	0.037	0.75	0.952	0.5	1.0	0.986	0.262	0.146	0.239	0.982	0.089	0.873	0.001	1.0	0.821	0.583	0.773	0	0.997	0.0	0.729	0.924	1.0	0.024	0.935	0.0	0.323	0.06	0.809	0.149
AERS_PNEUMONIA	0.0	0.999	0.0	0.0	0.433	0.018	0.437	0.11	0.995	0.312	0.0	0.0	0.001	0.219	0.215	0.0	0.0	0.994	0.0	0.837	1.0	0.987	0.99	0.813	0.994	0.039	0.288	0.004	0.935	0.0	0.041	0.592	0.955	0.187	0.0	0.912	0.997	0	0.0	0.937	0.594	1.0	0.0	0.837	0.0	0.128	0.012	0.524	0.003
AERS_PRURITUS	1.0	0.011	0.988	0.321	0.086	0.0	0.999	0.714	0.0	0.166	0.0	0.568	0.0	0.394	0.339	0.0	0.002	0.436	0.853	0.61	0.993	0.001	0.0	0.0	0.0	0.0	0.015	0.157	0.38	0.019	0.985	0.121	0.002	0.058	1.0	0.653	0.0	0.0	0	0.0	0.088	0.0	0.932	0.18	0.235	0.682	0.001	0.239	0.021
AERS_PULMONARY_EDEMA	0.243	0.019	0.009	0.028	0.354	0.944	0.0	0.001	0.996	0.0	1.0	0.957	1.0	0.009	0.087	0.999	0.241	0.056	0.0	0.165	0.045	0.952	0.999	0.606	0.909	0.774	0.303	0.014	0.214	0.006	0.009	0.181	0.547	0.002	0.0	0.977	0.729	0.937	0.0	0	0.921	0.954	0.0	0.032	0.009	0.003	0.99	0.002	0.0
AERS_RENAL_FAILURE_ACUTE	0.343	0.819	1.0	0.0	0.906	0.045	0.0	0.0	0.972	0.0	0.864	0.287	0.0	0.0	0.0	0.0	0.0	0.256	0.0	0.0	0.809	0.999	0.585	0.968	0.88	1.0	0.012	0.593	0.996	0.0	0.988	0.0	0.911	0.811	0.0	0.006	0.924	0.594	0.088	0.921	0	0.992	0.0	0.999	0.0	0.043	0.848	0.0	0.0
AERS_SEPSIS	0.003	0.999	0.0	0.0	0.912	0.0	0.011	0.0	0.933	0.015	0.0	0.004	0.056	0.003	0.008	0.001	0.006	0.985	0.0	0.037	0.991	0.999	0.9	1.0	1.0	0.469	0.002	0.029	1.0	0.0	0.153	0.014	0.985	0.153	0.0	0.509	1.0	1.0	0.0	0.954	0.992	0	0.0	1.0	0.0	0.038	0.0	0.246	0.0
AERS_SLEEPLESSNESS	0.004	0.0	0.0	1.0	0.005	0.121	0.819	0.574	0.0	0.982	0.0	0.004	0.049	0.093	0.423	0.777	0.931	0.826	1.0	0.355	0.0	0.0	0.001	0.0	0.001	0.0	0.321	0.026	0.0	1.0	0.769	0.287	0.001	0.11	0.993	0.0	0.024	0.0	0.932	0.0	0.0	0.0	0	0.0	1.0	0.618	0.0	0.658	1.0
AERS_THROMBOCYTOPENIA	0.179	1.0	0.627	0.0	0.986	0.139	0.089	0.0	0.102	0.072	0.009	0.002	0.001	0.017	0.0	0.163	0.0	0.299	0.0	0.0	0.997	0.993	0.165	0.986	0.331	0.263	0.0	0.338	1.0	0.0	0.031	0.004	0.943	0.632	0.002	0.004	0.935	0.837	0.18	0.032	0.999	1.0	0.0	0	0.0	0.024	0.032	0.009	0.0
AERS_TREMOR	0.489	0.0	0.001	1.0	0.003	0.107	0.042	0.932	0.001	0.849	0.042	0.0	0.689	0.393	0.129	1.0	1.0	0.018	1.0	0.079	0.001	0.0	0.0	0.0	0.014	0.0	0.239	0.842	0.0	1.0	0.047	0.125	0.0	0.002	0.999	0.008	0.0	0.0	0.235	0.009	0.0	0.0	1.0	0.0	0	0.046	0.239	0.604	1.0
AERS_VAGINAL_HEMORRHAGE	0.006	0.897	0.006	0.244	0.357	0.001	0.985	0.236	0.069	0.787	0.042	0.496	0.004	0.386	0.366	0.053	0.176	0.362	0.72	0.633	0.148	0.066	0.008	0.057	0.179	0.004	0.927	0.204	0.029	0.987	0.661	0.272	0.065	0.504	0.289	0.789	0.323	0.128	0.682	0.003	0.043	0.038	0.618	0.024	0.046	0	0.009	0.628	1.0
AERS_VENTRICULAR_TACHYCARDIA	0.92	0.001	0.42	0.171	0.023	1.0	0.001	0.047	0.997	0.0	1.0	0.997	1.0	0.543	0.084	0.472	0.58	0.0	0.035	0.012	0.002	0.459	0.993	0.617	0.064	0.752	0.307	0.187	0.001	0.127	0.066	0.876	0.0	0.001	0.03	0.019	0.06	0.012	0.001	0.99	0.848	0.0	0.0	0.032	0.239	0.009	0	0.0	0.006
AERS_VOMITING	0.006	0.637	0.0	0.705	0.0	0.0	0.469	0.0	0.109	0.998	0.0	0.001	0.0	0.5	0.992	0.301	0.954	1.0	1.0	0.993	0.756	0.108	0.005	0.161	0.461	0.0	0.581	0.067	0.0	0.356	0.027	0.232	0.086	0.552	0.08	0.292	0.809	0.524	0.239	0.002	0.0	0.246	0.658	0.009	0.604	0.628	0.0	0	0.37
AERS_WEIGHT GAIN	0.003	0.0	0.0	0.976	0.004	0.125	0.935	0.158	0.011	1.0	0.0	0.0	0.032	0.805	0.258	0.502	0.265	0.19	0.985	0.021	0.016	0.0	0.29	0.0	0.775	0.0	0.471	0.662	0.0	1.0	0.151	0.346	0.04	0.751	0.885	0.718	0.149	0.003	0.021	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.006	0.37	0
